"ID de categoría";"Activo";"Agregar fecha";"Actualización de fecha";"Posición";"Es categoría raíz";"Nombre de la categoría";"Descripción";"URL amigable";"Meta Título";"Meta Palabras clave";"Meta Descripción";"Imagen de la categoría";"Categoría grupos"
"1";"1";"11-09-2009 15:28:56";"11-09-2009 15:28:56";"1";"1";"Root|Inicio";"";"home";"";"";"";"1.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"7";"1";"11-09-2009 23:36:38";"20-12-2017 19:23:17";"1";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Acer";"";"cargadores-acer";"Cargador Acer";"cargadores,acer";"Cargador Acer";"7.jpg";"Cliente Final|Visitor|Guest"
"8";"1";"14-10-2009 19:06:19";"20-12-2017 19:23:48";"5";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador HP-Compaq";"";"hp-ccompaq";"Cargador HP-Compaq";"cargadores, hp, compaq";"Cargador HP-Compaq";"8.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"9";"1";"14-10-2009 20:08:25";"20-12-2017 19:23:23";"2";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Apple";"";"apple";"Cargador Apple";"cargadores, apple";"Cargador Apple";"9.jpg";"Cliente Final|Visitor|Guest"
"10";"0";"15-10-2009 11:38:08";"26-05-2015 21:39:26";"3";"0";"Root|Inicio|COMPUTACIÓN|Notebook|Notebook";"";"notebook";"";"notebook";"";"10.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"11";"1";"15-10-2009 19:15:47";"20-12-2017 19:23:41";"4";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Dell";"";"dell";"Cargador dell";"Cargador, dell";"Cargador dell";"11.jpg";"Cliente Final|Visitor|Guest"
"13";"1";"27-10-2009 16:52:25";"14-07-2017 16:14:24";"4";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterias Dell";"";"baterias-dell";"Baterias Dell";"Baterias, Dell,baterias de notebook dell,baterias dell";"Baterias Dell";"13.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"14";"1";"03-11-2009 19:07:20";"20-12-2017 19:24:48";"12";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Sony";"";"cargador-sony";"Cargador Sony";"cargadores, sony";"Cargador, Sony";"14.jpg";"Cliente Final|Visitor|Guest"
"15";"1";"05-11-2009 17:44:41";"14-07-2017 16:13:05";"5";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterias HP COMPAQ";"";"baterias-hp-compaq";"Baterias HP COMPAQ bateria,";"baterias, hp, compaq, bateria,";"Baterias HP COMPAQ bateria,";"15.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"219";"1";"08-09-2015 12:04:13";"19-04-2018 8:14:58";"1";"0";"Root|Inicio|CAMARAS";"";"camaras";"CAMARAS";"CAMARAS, espias de seguridad y otras";"CAMARAS";"219.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"22";"1";"25-01-2010 20:00:19";"07-09-2015 20:08:09";"1";"0";"Root|Inicio|OTROS|Accesorios Generales";"";"accesorios-en-general";"";"Accesorios, en, General";"Accesorios en General";"22.jpg";"Cliente Final|Visitor|Guest"
"26";"1";"01-02-2010 16:04:00";"14-07-2017 16:13:46";"2";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterias Apple";"";"baterias-apple";"Baterias Apple";"Baterias, Apple,bateria notebook apple,bateria apple, baterias";"Baterias Apple";"26.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"28";"1";"02-03-2010 18:24:02";"20-12-2017 19:24:58";"13";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Toshiba";"";"toshiba";"Cargador Toshiba";"cargadores, toshiba";"Cargador Toshiba";"28.jpg";"Cliente Final|Servicio Tecnico|Visitor|Guest"
"30";"1";"18-06-2010 19:40:52";"20-12-2017 20:29:10";"1";"0";"Root|Inicio|COMPUTACIÓN|Almacenamiento";"";"almacenamiento";"Almacenamiento";"memoria, almacenamiento, memorias flash, micro sd, discos duros";"Almacenamiento";"30.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"32";"0";"01-07-2010 18:24:15";"07-09-2015 20:06:01";"4";"0";"Root|Inicio|CASA, AUTO Y JARDIN|Cerco para perros";"";"cerco-para-perros";"cerco perro";"";"";"32.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"38";"1";"27-08-2010 12:41:32";"08-09-2015 11:21:50";"2";"0";"Root|Inicio|COMPUTACIÓN|Cables";"";"cables";"";"";"";"38.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"39";"1";"30-08-2010 11:05:34";"20-12-2017 19:22:44";"3";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Asus";"";"asus";"Cargador Asus";"cargadores, asus";"Cargador Asus";"39.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"40";"1";"03-09-2010 16:10:22";"15-10-2010 15:24:31";"1";"0";"Root|Inicio|COMPUTACIÓN|Notebook|Bisagras Notebook|Bisagras";"Bisagras para notebook";"bisagras";"";"";"";"40.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"221";"1";"24-09-2015 16:50:15";"24-09-2015 16:51:28";"8";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Galaxy Tab E";"";"accesorios-galaxy-tab-e";"Accesorios Galaxy Tab E";"Accesorios, Galaxy, Tab E";"Accesorios Galaxy Tab E";"221.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"46";"1";"29-09-2010 12:38:17";"29-09-2010 12:38:17";"1";"0";"Root|Inicio|COMPUTACIÓN|Notebook|Notebook|Mini Netbook";"";"mini-netbook";"";"";"";"46.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"48";"0";"05-10-2010 21:25:58";"07-09-2015 20:04:06";"1";"0";"Root|Inicio|CASA, AUTO Y JARDIN|GPS";"";"gps-sistema-gps-auto";"";"GPS, sistema GPS,gps auto, gps con tv";"GPS, sistema GPS, ";"48.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"51";"1";"05-10-2010 21:40:10";"08-09-2015 12:32:22";"3";"0";"Root|Inicio|CAMARAS|Cámaras Espías";"";"camaras-espias";"Camaras espias";"Camaras espias";"Camaras espias";"51.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"53";"1";"05-10-2010 21:45:41";"14-10-2015 23:38:56";"3";"0";"Root|Inicio|CELULARES|Celulares de Adulto Mayor";"";"celulares";"Celulares de Adulto Mayor";"Celulares, adulto, mayor";"Celulares de Adulto Mayor";"53.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"54";"0";"05-10-2010 21:48:15";"08-09-2015 11:09:09";"9";"0";"Root|Inicio|COMPUTACIÓN|Proyector";"";"proyector";"";"";"";"54.jpg";"Cliente Final|Visitor|Guest"
"55";"0";"05-10-2010 21:48:34";"05-10-2010 21:48:34";"2";"0";"Root|Inicio|COMPUTACIÓN|Proyector|Mini Proyector";"";"mini-pr";"";"";"";"55.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"56";"0";"05-10-2010 21:52:38";"05-10-2010 21:52:38";"1";"0";"Root|Inicio|COMPUTACIÓN|Proyector|Control Remoto Puntero";"";"control-remoto-puntero";"";"";"";"56.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"62";"1";"15-10-2010 15:20:47";"20-12-2017 20:27:47";"2";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook";"";"baterias-notebook-y-netbook";"Baterias de Notebook";"Baterias, Notebook,baterias notebook,acer,hp,compaq,lenovo,asus,olidata,toshiba,samsung,sony,apple,mac,dell,packard bell,BATERIAS DE NOTEBOOK";"Baterias de Notebook";"62.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"63";"1";"15-10-2010 15:21:33";"20-12-2017 20:28:26";"2";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook";"";"cargadores-o-adaptadores-de-notebook-y-netbook";"";"cargadores de notebook, cargadores notebook,cargadores,notebook,acer,apple,mac,asus,dell,hp,compaq,toshiba,lenovo,samsung,sony,olidta,packard bell";"";"63.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"64";"0";"15-10-2010 15:24:00";"16-10-2015 0:24:55";"1";"0";"Root|Inicio|COMPUTACIÓN|Notebook|Bisagras Notebook";"";"bisagras-notebook";"";"";"";"64.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"65";"1";"15-10-2010 15:27:30";"20-12-2017 20:30:09";"9";"0";"Root|Inicio|COMPUTACIÓN|Pantallas Notebook";"";"pantallas-notebook-y-netbook";"";"pantallas, pantallas notebook,notebook";"";"65.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"72";"1";"28-03-2011 16:23:18";"24-08-2011 11:35:59";"1";"0";"Root|Inicio|COMPUTACIÓN|Pantallas Notebook|Pantalla LCD de 7"" a 11.6""";"";"pantalla-lcd-de-70-a-116";"Pantalla Netbook Notebook";"Pantalla, Netbook, Notebook,";"Pantalla Netbook Notebook";"72.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"73";"1";"28-03-2011 17:13:04";"23-08-2011 14:03:44";"2";"0";"Root|Inicio|COMPUTACIÓN|Pantallas Notebook|Pantalla LCD de 12.1"" a 13.4""";"";"pantalla-lcd-de-121-a-134";"";"Pantalla, LCD, de, 12.1"", a, 13.4""";"Pantalla LCD de 12.1"" a 13.4""";"73.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"74";"1";"28-03-2011 17:35:12";"28-03-2011 17:35:12";"3";"0";"Root|Inicio|COMPUTACIÓN|Pantallas Notebook|Pantalla LCD de 14"" a 14.1""";"";"pantalla-lcd-de-14-a-141";"Pantalla LCD de 14"" a 14.1""";"Pantalla, LCD, de, 14"", a, 14.1""";"Pantalla LCD de 14"" a 14.1""";"74.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"75";"1";"30-03-2011 11:22:31";"30-03-2011 13:18:39";"4";"0";"Root|Inicio|COMPUTACIÓN|Pantallas Notebook|Pantalla LCD de 15.0"" a 15.4""";"";"pantalla-lcd-de-150-a-156";"Pantalla LCD de 15.0"" a 15.6""";"Pantalla, LCD, de, 15.0"", a, 15.6""";"Pantalla LCD de 15.0"" a 15.6""";"75.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"76";"1";"30-03-2011 13:19:32";"30-03-2011 13:19:32";"5";"0";"Root|Inicio|COMPUTACIÓN|Pantallas Notebook|Pantalla LCD de 15.6"" a 17.3""";"";"pantalla-lcd-de-156-a-173";"Pantalla LCD de 15.6"" a 17.3""";"Pantalla, LCD, de, 15.6"", a, 17.3""";"Pantalla LCD de 15.6"" a 17.3""";"76.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"78";"1";"02-06-2011 13:36:11";"24-09-2015 16:47:56";"13";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Galaxy Tab";"";"accesorios-samsung-galaxy";"tablet samsung Galaxy";"tablet, Samsung, Galaxy";"tablet samsung Galaxy";"78.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"79";"1";"11-06-2011 18:13:02";"01-06-2015 13:30:05";"16";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Tablet";"";"accesorios-tablet";"";"";"";"79.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"80";"1";"30-06-2011 15:10:39";"05-04-2016 23:40:01";"7";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Ipad 2";"";"accesorios-ipad-2";"Accesorios Ipad 2";"Accesorios, Ipad 2";"Accesorios Ipad 2";"80.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"81";"1";"07-07-2011 14:14:59";"26-10-2016 23:13:15";"2";"0";"Root|Inicio|CAMARAS|Cámaras Deportivas";"";"camaras-deporte";"Cámaras Deportivas";"Cámaras, Deportivas, deporte";"Cámaras Deportivas";"81.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"82";"1";"07-07-2011 18:43:05";"14-07-2017 16:15:24";"11";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterias Sony";"";"baterias-sony";"Baterias Sony";"Baterias, Sony,bateria notebook sony,bateria sony";"Baterias Sony";"82.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"83";"1";"07-07-2011 18:57:38";"14-07-2017 16:15:28";"12";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterias Toshiba";"";"baterias-toshiba";"Baterias Toshiba";"Baterias, Toshiba,bateria notebook toshiba, bateria toshiba";"Baterias Toshiba";"83.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"84";"1";"18-07-2011 19:00:37";"01-06-2015 13:29:47";"8";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Motorola Xoom";"";"accesorios-tablet-motorola-xoom";"Accesorios Tablet Motorola Xoom";"Accesorios, Tablet, Motorola, Xoom";"Accesorios Tablet Motorola Xoom";"84.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"205";"0";"26-05-2015 18:08:19";"08-09-2015 11:08:09";"7";"0";"Root|Inicio|COMPUTACIÓN|Notebook";"";"notebook";"Notebook";"notebook, componentes notebook,cargadores notebook";"Notebook ";"205.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"234";"1";"20-01-2017 15:46:10";"10-04-2018 13:17:25";"10";"0";"Root|Inicio|COMPUTACIÓN|Repuestos Servidores";"";"repuestos-servidores";"repuestos accesorios servidores";"repuestos, accesorios, servidores";"repuestos accesorios servidores";"234.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"88";"0";"15-09-2011 18:17:24";"07-09-2015 20:07:04";"6";"0";"Root|Inicio|CASA, AUTO Y JARDIN|Ojo Magico";"";"ojo-magico";"Ojo magico";"ojo. magico";"ojo magico";"88.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"90";"1";"13-10-2011 19:29:32";"14-07-2017 16:13:29";"1";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterias Acer";"";"bateria-acer";"bateria, acer,baterias de notebook acer, bateria notebook acer";"bateria, acer,baterias de notebook acer, bateria notebook acer";"bateria, acer,baterias de notebook acer, bateria notebook acer";"90.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"91";"1";"01-11-2011 18:48:45";"08-09-2015 11:08:35";"6";"0";"Root|Inicio|ENTRETENCION|Juguetes Solares";"<p>Juguetes Solares</p>";"juguetes-solares";"Juguetes solares";"Juguetes, solares, panel";"Juguetes, solares";"91.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"92";"1";"02-11-2011 21:03:59";"08-09-2015 11:07:43";"5";"0";"Root|Inicio|ENTRETENCION|Juguetes Radio Controlados";"<p>Juguetes radio controlados</p>";"juguetes-a-control-remoto";"";"Juguetes, radio, controlados, a, control, remoto";"Juguetes radio controlados";"92.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"93";"1";"08-11-2011 11:17:01";"07-03-2012 19:46:31";"1";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Galaxy Tab|Samsung Galaxy Tab de 7 pulgadas P-1000 P-1010";"Accesorios para galaxy tab de 7"" ";"samsung-galaxy-tab-de-7-pulgadas-p-1000-p-1010";"";"Accesorios, Samsung, Galaxy, Tab, de, 7, pulgadas, P-1000, P-1010";"Accesorios Samsung Galaxy Tab de 7 pulgadas P-1000 P-1010";"93.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"94";"1";"08-11-2011 11:20:20";"08-11-2011 11:20:20";"4";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Galaxy Tab|Samsung Galaxy Tab de 10.1 pulgadas P-7500 P-7510";"Accesorios Samsung Galaxy Tab de 10.1 pulgadas P-7500 P-7510";"samsung-galaxy-tab-de-101-pulgadas-p-7500-p-7510";"";"Accesorios, Samsung, Galaxy, Tab, de ,10.1, pulgadas, P-7500, P-7510";"Accesorios Samsung Galaxy Tab de 10.1 pulgadas P-7500 P-7510";"94.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"95";"1";"29-11-2011 14:37:33";"01-06-2015 13:17:15";"2";"0";"Root|Inicio|COMPUTACIÓN|Almacenamiento|Memorias SD y Micro SD";"Memorias micro sd";"memorias-micro-sd";"Memorias sd y micro sd";"Memorias, sd, micro sd";"Memorias sd ymicro sd";"95.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"96";"1";"29-11-2011 14:37:52";"01-06-2015 20:00:06";"3";"0";"Root|Inicio|COMPUTACIÓN|Almacenamiento|Pendrive";"";"pendrive";"";"Pendrive";"";"96.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"99";"1";"06-03-2012 19:57:27";"20-12-2017 19:24:31";"10";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Samsung";"";"samsung";"Cargadores Samsung";"cargadores, samsung";"cargadores samsung";"99.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"100";"1";"07-03-2012 19:52:01";"07-03-2012 19:52:31";"2";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Galaxy Tab|Samsung Galaxy Tab de 7 pulgadas P6200 P6210";"";"samsung-galaxy-tab-de-7-pulgadas-p6200-p6210";"Samsung Galaxy Tab de 7 pulgadas P6200 p6210";"Samsung Galaxy Tab de 7 pulgadas P6200 p6210";"Samsung, Galaxy, Tab, de, 7, pulgadas, P6200, p6210";"100.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"101";"1";"09-03-2012 12:18:34";"14-07-2017 16:15:10";"10";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterias Samsung";"";"baterias-samsung";"Baterias, Samsung";"Baterias, Samsung,baterias notebook samsung,notebook,baterias samsung";"Baterias, Samsung";"101.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"102";"1";"09-03-2012 20:24:18";"20-12-2017 19:24:06";"8";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Olidata";"";"olidata";"cargador olidata";"cargador, olidata";"cargador olidata";"102.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"103";"1";"14-03-2012 19:01:16";"20-12-2017 19:24:28";"9";"0";"Root|Inicio|COMPUTACIÓN|Cargadores de Notebook|Cargador Packard Bell";"";"cargador-packard-bell";"cargadores Packard Bell";"cargadores Packard Bell";"cargadores Packard Bell";"103.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"104";"1";"15-03-2012 14:04:08";"14-07-2017 16:14:31";"6";"0";"Root|Inicio|COMPUTACIÓN|Baterias de Notebook|Baterias IBM/Lenovo";"";"baterias-ibm";"bateria ibm";"bateria, ibm,baterias notebook ibm,baterias ibm";"bateria ibm";"104.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"105";"1";"28-03-2012 21:55:16";"28-03-2012 21:55:16";"3";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Galaxy Tab|Samsung Galaxy Tab de 8.9 pulgadas P7300 P7310";"";"samsung-galaxy-tab-de-89-pulgadas-p7300-p7310";"Samsung Galaxy Tab de 8.9 pulgadas P7300 P7310";"Samsung, Galaxy, Tab, de, 8.9, pulgadas, P7300, P7310";"Samsung Galaxy Tab de 8.9 pulgadas P7300 P7310";"105.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"107";"1";"22-04-2012 11:46:33";"07-09-2015 20:02:34";"8";"0";"Root|Inicio|CASA, AUTO Y JARDIN|YikeBike";"";"yikibike";"yikibike chile";"yikibike, en, chile";"yikibike chile";"107.jpg";"Cliente Final|Visitor|Guest"
"108";"1";"25-04-2012 22:08:12";"25-05-2015 19:01:27";"3";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Acer Iconia";"";"accesorios-acer-iconia";"Accesorios Acer Iconia";"Accesorios, Acer, Iconia";"Accesorios, Acer, Iconia";"108.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"110";"1";"15-05-2012 11:59:39";"25-05-2015 19:03:30";"9";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Ipad 3";"";"accesorios-ipad-3";"Accesorios, Ipad, 3, New, ipad";"Accesorios, Ipad, 3, new, ipad";"Accesorios, Ipad, 3, new, ipad";"110.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"111";"1";"24-05-2012 0:30:35";"20-12-2017 20:30:40";"12";"0";"Root|Inicio|COMPUTACIÓN|Teclados Notebook";"";"teclados-notebook";"";"Teclados, Notebook,teclados notebook";"Teclados Notebook";"111.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"113";"0";"04-06-2012 19:42:26";"04-06-2012 19:42:26";"1";"0";"Root|Inicio|COMPUTACIÓN|Teclados Notebook|Teclado Acer";"";"teclado-acer";"";"Teclado, Acer";"Teclado, Acer";"113.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"114";"0";"04-06-2012 19:43:37";"04-06-2012 19:43:37";"2";"0";"Root|Inicio|COMPUTACIÓN|Teclados Notebook|Teclado Apple";"";"teclado-apple";"";"Teclado, Apple";"Teclado Apple";"114.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"115";"1";"04-06-2012 19:44:06";"04-06-2012 19:44:06";"3";"0";"Root|Inicio|COMPUTACIÓN|Teclados Notebook|Teclado Dell";"";"teclado-dell";"";"Teclado, Dell";"Teclado Dell";"115.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"117";"1";"04-06-2012 19:45:25";"04-06-2012 19:45:25";"4";"0";"Root|Inicio|COMPUTACIÓN|Teclados Notebook|Teclado HP- Compaq";"";"teclado-hp";"";"Teclado, HP, Compaq";"Teclado HP- Compaq";"117.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"118";"1";"04-06-2012 19:45:52";"04-06-2012 19:45:52";"5";"0";"Root|Inicio|COMPUTACIÓN|Teclados Notebook|Teclado IBM";"";"teclado-ibm";"";"Teclado, IBM";"Teclado IBM";"118.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"119";"0";"04-06-2012 19:46:32";"04-06-2012 19:46:32";"6";"0";"Root|Inicio|COMPUTACIÓN|Teclados Notebook|Teclado Samsung";"";"teclado-samsung";"";"Teclado, Samsung";"Teclado Samsung";"119.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"120";"0";"04-06-2012 19:46:50";"04-06-2012 19:46:50";"7";"0";"Root|Inicio|COMPUTACIÓN|Teclados Notebook|Teclado Sony";"";"teclado-sony";"";"Teclado, Sony";"Teclado Sony";"120.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"121";"1";"04-06-2012 19:47:12";"04-06-2012 19:47:12";"8";"0";"Root|Inicio|COMPUTACIÓN|Teclados Notebook|Teclado Toshiba";"";"teclado-toshiba";"";"Teclado, Toshiba";"Teclado Toshiba";"121.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"123";"1";"24-06-2012 22:47:09";"06-08-2012 12:31:22";"5";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Galaxy Tab|Samsung Galaxy Tab 2 de 7 pulgadas P3100 P3110";"";"samsung-galaxy-tab-2-de-7-pulgadas-p3100-p3110";"";"Samsung, Galaxy, Tab, 2, de, 7, pulgadas, P3100, P3110";"Samsung Galaxy Tab 2 de 7 pulgadas P3100 P3110";"123.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"124";"1";"29-06-2012 18:26:51";"30-07-2012 16:47:06";"6";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Galaxy Tab|Samsung Galaxy Tab 2 de 10.1 pulgadas P5100 P5110";"";"samsung-galaxy-tab-2-de-101-pulgadas-p5100";"";"Samsung, Galaxy, Tab, 2, de, 10.1, pulgadas, P5100, P5110";"Samsung Galaxy Tab 2 de 10.1 pulgadas P5100 P5110";"124.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
"125";"1";"26-07-2012 15:09:06";"01-06-2015 13:30:05";"15";"0";"Root|Inicio|COMPUTACIÓN|Accesorios de Tablet|Accesorios Sony S1";"";"accesorios-tablet-sony-s1";"Accesorios Tablet Sony S1";"Accesorios, Tablet, Sony, S1";"Accesorios Tablet Sony S1";"125.jpg";"Cliente Final|Servicio Tecnico|Distribuidor|Visitor|Guest"
